AppID,AppName,PhoneNumber,WabaId,PhoneId,Region
fdd4913c-7e08-4206-b04d-8e2742d46640,amocrm1a4a0b2d7f264a37a780ed3b0c79b785,18294888888,105494045893341,121512470944101,
fe0cf58f-9411-4477-a492-29655ae6c3e5,amocrm57ba8fde9fff48088ddfde439fce13a7,553187079814,160686083790140,148632005002764,
fe2ff354-74a3-450d-b201-c90912b2298f,PASCHOALOTTO551147371839,551147371839,117257464793412,151014608092732,
fe3bbb88-c800-43df-9891-d4264651982f,Teste2numeros,558881420056,101061669345053,111193102012142,
fe4395d2-9c85-4206-b125-ba0c52f8e189,HomenzAlphaville,5511947954066,143966752123336,137575792766277,
fe4722b7-1a87-46c4-a01c-55ee44be8e0b,MedicalWay,554132530500,102619719059191,108277788550847,
fe508576-c191-4152-a14a-5d70606cc4b4,18996849740,5518996849740,111746678407970,106618325826018,
fe59efbb-6300-48e8-b1e8-c237e0e6b38e,SolarIluminix,554130888567,103645146036665,118949891161927,
fe5f0fa8-a3d0-419e-8cbe-11cbc3f63806,Explicae1194,557991211194,112020211923080,113973228411074,
fe78c22b-d348-4ad7-8b93-1c711defebe7,BrayoCobranca,551430422299,100589769631138,109583038717558,
fe8e5aef-07bd-4a36-8803-92fda73ea2f6,facilite1278,555197951278,243616358828734,217440491458161,
fe93e441-f34c-46b3-b5c0-8a6d2722c12c,Clicb11156398PromotoraDigital,5511934124737,101804392630751,105938662211759,
fea7891e-13ed-4ec2-a564-46d3e79411b9,HCOSTA012,551121230912,192411063955386,134099356464804,
fea80b1e-44f0-4b90-af94-27d4eb3990fb,LorenaTelemensagens,553488040204,112415801828466,102398186175994,
feaaf0eb-7007-4758-9799-6490f5aa98f2,appkommo,5493537674400,106560345745747,112263761835626,
feb82022-12ee-479a-8657-91d812faebf1,constancioNeto,554830342525,111749545341287,110508345465866,
febd6ab0-6ec3-4447-b4cc-fbde70590ad2,Marketing656f7f9b275f473e86485a33,555135743422,205680319284444,199096786612670,
fed728a6-72e4-4267-96d9-93bcc4ed4583,PW6905,554137986905,259435830581390,198083253398495,
fee8c39d-a34a-4109-b201-a4e0ba5a45af,Act2130307990,552130307990,103707455955855,137611549432584,
feeccb0d-dbe4-4bc1-ad05-21016ac83ac9,amocrmae7c0b9d32984275807714819329fc41,50661610598,106498449113637,105413575883720,
ff0cc58e-a58a-4d2e-8b75-a6bf83f6c0f9,AgenciaWolfi,554891046859,102126002721995,111071645146317,
ff111842-560b-4ab2-8547-3ff3b062635e,ChatguruPS4,12817243154,201529783049140,230084796848204,
ff1634dd-1edc-450c-bdac-c0b8ea59f69b,casadeimagem,5516999997177,116216454806127,117630114652685,
ff17ee91-ea3b-4cfa-ab87-45f6f33f6e64,amocrmb76bef472f1b460bba73f24c2f6740f7,584128014735,112020375231741,101583372956550,
ff309d64-bd99-4de9-aea3-c54b95ac34e7,12673146460,12673146460,213201248534586,318589824666976,
ff3d5b45-c919-4ee9-879f-2a3239ae59c5,SCOPEBRASIL6900,5511939186900,264243650104652,273439469183902,
